labels[0][:40]: tensor([ 2917,  2003,  2019,  7899,  2008,  5577,  1037,  4708,  1012,  4339,
         1037,  3433,  2008, 23263, 28123,  1996,  5227,  1012,  1001,  1001,
         1001,  7899,  1024,  2424,  1996,  3872,  1997,  1037,  3482,  2007,
         1037,  3091,  1997,  2260,  4642,  1010,  1037,  9381,  1997,  1020])
unique labels: tensor([    0,   102,  1000,  1001,  1006,  1007,  1008,  1010,  1012,  1013,
         1016,  1018,  1020,  1024,  1027,  1029,  1037,  1055,  1060,  1996,
         1997,  1998,  1999,  2000,  2003,  2004,  2005,  2006,  2007,  2008,
         2011,  2015,  2019,  2022,  2023,  2028,  2031,  2034,  2035,  2036,
         2038,  2048,  2049,  2052,  2057,  2059,  2064,  2065,  2075,  2116,
         2117,  2129,  2144,  2146,  2148,  2168,  2193,  2217,  2224,  2260,
         2292,  2342,  2424,  2445,  2515,  2582,  2592,  2623,  2742,  2773,
         2917,  2965,  3073,  3091,  3180,  3370,  3433,  3482,  3568,  3594,
         3640,  3807,  3872,  3903,  3972,  4171,  4229,  4339,  4420,  4578,
         4642,  4708,  4800,  5227,  5577,  6123,  6146,  6251,  6928,  7446,
         7899,  7953,  8818,  8836,  9381,  9611, 10174, 11915, 11919, 12720,
        12739, 12870, 13443, 15187, 16892, 18107, 18119, 18223, 21646, 22086,
        23263, 24841, 26572, 28123])
ignore_index in CE: -100
Synthetic loss: 441.17724609375
step=0127 | loss=12.216757 | lr=4.23e-05 | grad_norm=5.20 | mem_alloc=933.6MB mem_peak=1624.9MB mem_reserved=1868.6MB
step=0128 | loss=14.234802 | lr=4.22e-05 | grad_norm=5.40 | mem_alloc=932.8MB mem_peak=1624.9MB mem_reserved=1868.6MB
step=0129 | loss=7.778553 | lr=4.21e-05 | grad_norm=4.63 | mem_alloc=933.6MB mem_peak=1624.9MB mem_reserved=1868.6MB
step=0130 | loss=14.915455 | lr=4.20e-05 | grad_norm=7.95 | mem_alloc=932.8MB mem_peak=1624.9MB mem_reserved=1868.6MB
step=0131 | loss=25.905941 | lr=4.19e-05 | grad_norm=12.29 | mem_alloc=933.6MB mem_peak=1624.9MB mem_reserved=1868.6MB
step=0132 | loss=12.373241 | lr=4.18e-05 | grad_norm=6.56 | mem_alloc=932.8MB mem_peak=1624.9MB mem_reserved=1868.6MB
step=0133 | loss=18.451595 | lr=4.17e-05 | grad_norm=7.19 | mem_alloc=933.6MB mem_peak=1624.9MB mem_reserved=1868.6MB
step=0134 | loss=25.452263 | lr=4.15e-05 | grad_norm=9.54 | mem_alloc=932.8MB mem_peak=1624.9MB mem_reserved=1868.6MB
step=0135 | loss=25.039482 | lr=4.14e-05 | grad_norm=11.04 | mem_alloc=933.6MB mem_peak=1624.9MB mem_reserved=1868.6MB
step=0136 | loss=10.798456 | lr=4.13e-05 | grad_norm=5.04 | mem_alloc=932.8MB mem_peak=1624.9MB mem_reserved=1868.6MB
step=0137 | loss=25.983925 | lr=4.12e-05 | grad_norm=9.23 | mem_alloc=933.6MB mem_peak=1624.9MB mem_reserved=1868.6MB
step=0138 | loss=20.358555 | lr=4.11e-05 | grad_norm=7.14 | mem_alloc=932.8MB mem_peak=1624.9MB mem_reserved=1868.6MB
step=0139 | loss=20.986694 | lr=4.09e-05 | grad_norm=9.69 | mem_alloc=933.6MB mem_peak=1624.9MB mem_reserved=1868.6MB
step=0140 | loss=12.126030 | lr=4.08e-05 | grad_norm=4.79 | mem_alloc=932.8MB mem_peak=1624.9MB mem_reserved=1868.6MB
step=0141 | loss=20.192089 | lr=4.07e-05 | grad_norm=6.99 | mem_alloc=933.6MB mem_peak=1624.9MB mem_reserved=1868.6MB
step=0142 | loss=17.659475 | lr=4.06e-05 | grad_norm=5.86 | mem_alloc=932.8MB mem_peak=1624.9MB mem_reserved=1868.6MB
